Gene symbol,Official name,tissue
ATP9A,ATPase phospholipid transporting 9A (putative),tub
ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,tub
ATR,ATR serine/threonine kinase,tub
ATRAID,all-trans retinoic acid induced differentiation factor,tub
ATRNL1,attractin like 1,tub
ATXN1L,ataxin 1 like,tub
ATXN2,ataxin 2,glom
ATXN7,ataxin 7,glom
ATXN7L1,ataxin 7 like 1,tub
AUH,AU RNA binding methylglutaconyl-CoA hydratase,tub
AUP1,AUP1. lipid droplet regulating VLDL assembly factor,tub
AURKA,aurora kinase A,tub
AUTS2,AUTS2. activator of transcription and developmental regulator,tub
AVP,arginine vasopressin,tub
AVPI1,arginine vasopressin induced 1,tub
AXDND1,axonemal dynein light chain domain containing 1,glom
AXIN1,axin 1,glom
AXIN2,axin 2,tub
AXL,AXL receptor tyrosine kinase,tub
AZGP1,alpha-2-glycoprotein 1. zinc-binding,tub
AZI2,5-azacytidine induced 2,tub
B2M,beta-2-microglobulin,tub
B3GALT2,beta-1.3-galactosyltransferase 2,glom
B3GNT2,UDP-GlcNAc:betaGal beta-1.3-N-acetylglucosaminyltransferase 2,tub
B3GNT5,UDP-GlcNAc:betaGal beta-1.3-N-acetylglucosaminyltransferase 5,tub
B3GNT9,UDP-GlcNAc:betaGal beta-1.3-N-acetylglucosaminyltransferase 9,tub
B4GALNT3,beta-1.4-N-acetyl-galactosaminyltransferase 3,tub
B4GALT2,beta-1.4-galactosyltransferase 2,glom
B4GALT3,beta-1.4-galactosyltransferase 3,tub
B4GAT1,beta-1.4-glucuronyltransferase 1,glom
BACE1,beta-secretase 1,glom
BAG3,BCL2 associated athanogene 3,tub
BAG4,BCL2 associated athanogene 4,glom
BAHD1,bromo adjacent homology domain containing 1,tub
BAIAP3,BAI1 associated protein 3,tub
BANK1,B cell scaffold protein with ankyrin repeats 1,tub
BAP1,BRCA1 associated protein 1,tub
BARD1,BRCA1 associated RING domain 1,tub
BASP1,brain abundant membrane attached signal protein 1,tub
BATF2,basic leucine zipper ATF-like transcription factor 2,tub
BATF3,basic leucine zipper ATF-like transcription factor 3,glom
BAZ1B,bromodomain adjacent to zinc finger domain 1B,glom
BBC3,BCL2 binding component 3,tub
BBS10,Bardet-Biedl syndrome 10,glom
BCAM,basal cell adhesion molecule (Lutheran blood group),glom
BCAR3,BCAR3. NSP family adaptor protein,glom
BCAS1,breast carcinoma amplified sequence 1,tub
BCAS2,BCAS2. pre-mRNA processing factor,tub
BCAT1,branched chain amino acid transaminase 1,glom
BCAT2,branched chain amino acid transaminase 2,tub
BCKDHB,branched chain keto acid dehydrogenase E1 subunit beta,tub
BCL10,B cell CLL/lymphoma 10,tub
BCL11A,B cell CLL/lymphoma 11A,tub
BCL2A1,BCL2 related protein A1,tub
BCL2L10,BCL2 like 10,tub
BCL2L13,BCL2 like 13,tub
BCL2L2,BCL2 like 2,glom
BCLAF1,BCL2 associated transcription factor 1,tub
BCORL1,BCL6 corepressor like 1,tub
BDH2,3-hydroxybutyrate dehydrogenase 2,tub
BDKRB1,bradykinin receptor B1,tub
BDKRB2,bradykinin receptor B2,tub
BDNF,brain derived neurotrophic factor,tub
BEAN1,brain expressed associated with NEDD4 1,tub
BEND6,BEN domain containing 6,tub
BEND7,BEN domain containing 7,tub
BEST1,bestrophin 1,tub
BEST4,bestrophin 4,tub
BEX2,brain expressed X-linked 2,tub
BEX5,brain expressed X-linked 5,tub
BFSP1,beaded filament structural protein 1,tub
BGN,biglycan,tub
BHLHE40,basic helix-loop-helix family member e40,tub
BHMT,betaine--homocysteine S-methyltransferase,tub
BHMT2,betaine--homocysteine S-methyltransferase 2,tub
BICC1,BicC family RNA binding protein 1,glom
BICD1,BICD cargo adaptor 1,tub
BICDL1,BICD family like cargo adaptor 1,tub
BIN2,bridging integrator 2,tub
BLCAP,BLCAP. apoptosis inducing factor,tub
BLK,BLK proto-oncogene. Src family tyrosine kinase,glom
BLOC1S1,biogenesis of lysosomal organelles complex 1 subunit 1,tub
BMP1,bone morphogenetic protein 1,tub
BMP3,bone morphogenetic protein 3,tub
BMP4,bone morphogenetic protein 4,tub
BMP5,bone morphogenetic protein 5,tub
BNIP3,BCL2 interacting protein 3,tub
BOC,BOC cell adhesion associated. oncogene regulated,tub
BOD1,biorientation of chromosomes in cell division 1,tub
BOLA1,bolA family member 1,tub
BOLA3,bolA family member 3,tub
BORA,bora. aurora kinase A activator,tub
BORCS7,BLOC-1 related complex subunit 7,tub
BPHL,biphenyl hydrolase like,tub
BPI,bactericidal permeability increasing protein,tub
BPTF,bromodomain PHD finger transcription factor,glom
BRAP,BRCA1 associated protein,glom
BRCA1,BRCA1. DNA repair associated,tub
BRCA2,BRCA2. DNA repair associated,tub
BRCC3,BRCA1/BRCA2-containing complex subunit 3,glom
BRD1,bromodomain containing 1,tub
BRD2,bromodomain containing 2,tub
BRD3,bromodomain containing 3,tub
BRD4,bromodomain containing 4,glom
BRPF3,bromodomain and PHD finger containing 3,tub
BSDC1,BSD domain containing 1,tub
BST2,bone marrow stromal cell antigen 2,tub
BTC,betacellulin,glom
BTK,Bruton tyrosine kinase,tub
BTN2A2,butyrophilin subfamily 2 member A2,tub
BTN3A1,butyrophilin subfamily 3 member A1,tub
BTN3A2,butyrophilin subfamily 3 member A2,tub
BTN3A3,butyrophilin subfamily 3 member A3,tub
BUB1B,BUB1 mitotic checkpoint serine/threonine kinase B,tub
BVES,blood vessel epicardial substance,tub
BZW2,basic leucine zipper and W2 domains 2,tub
C10orf126,chromosome 10 open reading frame 126,tub
C10orf55,chromosome 10 open reading frame 55,tub
C10orf67,chromosome 10 open reading frame 67,tub
C10orf82,chromosome 10 open reading frame 82,tub
C11orf1,chromosome 11 open reading frame 1,tub
C11orf24,chromosome 11 open reading frame 24,tub
C11orf45,chromosome 11 open reading frame 45,tub
C11orf52,chromosome 11 open reading frame 52,tub
C11orf54,chromosome 11 open reading frame 54,tub
C11orf71,chromosome 11 open reading frame 71,tub
C11orf86,chromosome 11 open reading frame 86,tub
C11orf95,chromosome 11 open reading frame 95,tub
C12orf29,chromosome 12 open reading frame 29,tub
C12orf4,chromosome 12 open reading frame 4,tub
C12orf56,chromosome 12 open reading frame 56,glom
C12orf66,chromosome 12 open reading frame 66,tub
C15orf40,chromosome 15 open reading frame 40,tub
C16orf54,chromosome 16 open reading frame 54,tub
C16orf70,chromosome 16 open reading frame 70,glom
C16orf87,chromosome 16 open reading frame 87,tub
C18orf32,chromosome 18 open reading frame 32,tub
C18orf54,chromosome 18 open reading frame 54,tub
C19orf12,chromosome 19 open reading frame 12,tub
C19orf18,chromosome 19 open reading frame 18,glom
C19orf66,chromosome 19 open reading frame 66,tub
C19orf73,chromosome 19 open reading frame 73,tub
C1GALT1,core 1 synthase. glycoprotein-N-acetylgalactosamine 3-beta- galactosyltransferase 1,tub
C1orf112,chromosome 1 open reading frame 112,tub
C1orf21,chromosome 1 open reading frame 21,glom
C1orf210,chromosome 1 open reading frame 210,tub
C1orf216,chromosome 1 open reading frame 216,tub
C1orf226,chromosome 1 open reading frame 226,glom
C1orf43,chromosome 1 open reading frame 43,tub
C1QBP,complement C1q binding protein,tub
C1QL1,complement C1q like 1,glom
C1QTNF1,C1q and TNF related 1,tub
C1QTNF3,C1q and TNF related 3,tub
C1QTNF6,C1q and TNF related 6,tub
C1QTNF7,C1q and TNF related 7,tub
C1R,complement C1r,tub
C1RL,complement C1r subcomponent like,tub
C2,complement C2,tub
C20orf194,chromosome 20 open reading frame 194,glom
C21orf62,chromosome 21 open reading frame 62,tub
C22orf46,chromosome 22 open reading frame 46,tub
C2CD2,C2 calcium dependent domain containing 2,tub
C2CD4B,C2 calcium dependent domain containing 4B,glom
C2orf16,chromosome 2 open reading frame 16,tub
C2orf72,chromosome 2 open reading frame 72,tub
C3orf52,chromosome 3 open reading frame 52,tub
C3orf58,chromosome 3 open reading frame 58,glom
C3orf67,chromosome 3 open reading frame 67,tub
C4A,complement C4A (Rodgers blood group),glom
C4B,complement C4B (Chido blood group),glom
C5orf15,chromosome 5 open reading frame 15,glom
C6,complement C6,tub
C6orf136,chromosome 6 open reading frame 136,tub
C6orf226,chromosome 6 open reading frame 226,tub
C6orf52,chromosome 6 open reading frame 52,tub
C8orf48,chromosome 8 open reading frame 48,tub
C8orf58,chromosome 8 open reading frame 58,glom
C8orf59,chromosome 8 open reading frame 59,tub
C8orf76,chromosome 8 open reading frame 76,tub
C8orf82,chromosome 8 open reading frame 82,tub
C9orf24,chromosome 9 open reading frame 24,tub
C9orf3,chromosome 9 open reading frame 3,glom
C9orf43,chromosome 9 open reading frame 43,tub
C9orf84,chromosome 9 open reading frame 84,tub
CA11,carbonic anhydrase 11,glom
CA13,carbonic anhydrase 13,tub
CA2,carbonic anhydrase 2,tub
CA8,carbonic anhydrase 8,tub
CAAP1,caspase activity and apoptosis inhibitor 1,tub
CABLES1,Cdk5 and Abl enzyme substrate 1,glom
CABP1,calcium binding protein 1,tub
CABP4,calcium binding protein 4,tub
CABYR,calcium binding tyrosine phosphorylation regulated,tub
CACHD1,cache domain containing 1,tub
CACNA1C,calcium voltage-gated channel subunit alpha1 C,tub
CACNA1H,calcium voltage-gated channel subunit alpha1 H,tub
CACNA2D4,calcium voltage-gated channel auxiliary subunit alpha2delta 4,tub
CACNB3,calcium voltage-gated channel auxiliary subunit beta 3,tub
CACNB4,calcium voltage-gated channel auxiliary subunit beta 4,tub
CAD,carbamoyl-phosphate synthetase 2. aspartate transcarbamylase. and dihydroorotase,tub
CALCR,calcitonin receptor,tub
CALCRL,calcitonin receptor like receptor,tub
CALD1,caldesmon 1,tub
CALHM2,calcium homeostasis modulator family member 2,tub
CALHM6,calcium homeostasis modulator family member 6,tub
CALM1,calmodulin 1,tub
CALM2,calmodulin 2,glom
CALML3,calmodulin like 3,tub
CALR,calreticulin,tub
CALU,calumenin,tub
CAMK1D,calcium/calmodulin dependent protein kinase ID,tub
CAMK1G,calcium/calmodulin dependent protein kinase IG,tub
CAMK2A,calcium/calmodulin dependent protein kinase II alpha,tub
CAMK2B,calcium/calmodulin dependent protein kinase II beta,tub
CAMK2N1,calcium/calmodulin dependent protein kinase II inhibitor 1,tub
CAMK4,calcium/calmodulin dependent protein kinase IV,tub
CAMSAP3,calmodulin regulated spectrin associated protein family member 3,tub
CAMTA1,calmodulin binding transcription activator 1,tub
CAMTA2,calmodulin binding transcription activator 2,tub
CANX,calnexin,glom
CAP1,cyclase associated actin cytoskeleton regulatory protein 1,tub
CAP2,cyclase associated actin cytoskeleton regulatory protein 2,tub
CAPN5,calpain 5,glom
CAPN6,calpain 6,tub
CAPSL,calcyphosine like,tub
CAPZA1,capping actin protein of muscle Z-line subunit alpha 1,glom
CARD11,caspase recruitment domain family member 11,glom
CARD16,caspase recruitment domain family member 16,tub
CARD19,caspase recruitment domain family member 19,tub
CARD6,caspase recruitment domain family member 6,tub
CARD8,caspase recruitment domain family member 8,tub
CARD9,caspase recruitment domain family member 9,tub
CARHSP1,calcium regulated heat stable protein 1,tub
CARMIL1,capping protein regulator and myosin 1 linker 1,glom
CARS,cysteinyl-tRNA synthetase,tub
CASC10,cancer susceptibility 10,tub
CASP1,caspase 1,tub
CASP10,caspase 10,tub
CASP2,caspase 2,tub
CASP3,caspase 3,tub
CASP4,caspase 4,tub
CASP8AP2,caspase 8 associated protein 2,tub
CASS4,Cas scaffold protein family member 4,tub
CAST,calpastatin,glom
CASTOR1,cytosolic arginine sensor for mTORC1 subunit 1,tub
CAT,catalase,tub
CATSPER3,cation channel sperm associated 3,tub
CATSPERE,catsper channel auxiliary subunit epsilon,tub
CATSPERG,cation channel sperm associated auxiliary subunit gamma,tub
CAV1,caveolin 1,tub
CAV2,caveolin 2,tub
CAVIN1,caveolae associated protein 1,tub
CAVIN3,caveolae associated protein 3,tub
CBLB,Cbl proto-oncogene B,glom
CBR1,carbonyl reductase 1,glom
CBR3,carbonyl reductase 3,tub
CBWD5,COBW domain containing 5,tub
CBWD6,COBW domain containing 6,tub
CBX2,chromobox 2,tub
CBX6,chromobox 6,tub
CBX7,chromobox 7,glom
CC2D1A,coiled-coil and C2 domain containing 1A,tub
CCBE1,collagen and calcium binding EGF domains 1,glom
CCDC102B,coiled-coil domain containing 102B,tub
CCDC113,coiled-coil domain containing 113,tub
CCDC137,coiled-coil domain containing 137,tub
CCDC173,coiled-coil domain containing 173,glom
CCDC18,coiled-coil domain containing 18,tub
CCDC183,coiled-coil domain containing 183,tub
CCDC184,coiled-coil domain containing 184,glom
CCDC186,coiled-coil domain containing 186,tub
CCDC3,coiled-coil domain containing 3,tub
CCDC65,coiled-coil domain containing 65,tub
CCDC68,coiled-coil domain containing 68,tub
CCDC69,coiled-coil domain containing 69,tub
CCDC73,coiled-coil domain containing 73,tub
CCDC8,coiled-coil domain containing 8,tub
CCDC80,coiled-coil domain containing 80,tub
CCDC82,coiled-coil domain containing 82,tub
CCDC88A,coiled-coil domain containing 88A,tub
CCDC88B,coiled-coil domain containing 88B,tub
CCDC91,coiled-coil domain containing 91,glom
CCDC9B,coiled-coil domain containing 9B,tub
CCL13,C-C motif chemokine ligand 13,glom
CCL28,C-C motif chemokine ligand 28,tub
CCL5,C-C motif chemokine ligand 5,tub
CCM2,CCM2 scaffold protein,tub
CCNA2,cyclin A2,tub
CCNB1,cyclin B1,tub
CCNB1IP1,cyclin B1 interacting protein 1,tub
CCNB2,cyclin B2,tub
CCNC,cyclin C,tub
CCNE1,cyclin E1,tub
CCNE2,cyclin E2,tub
CCNF,cyclin F,tub
CCNH,cyclin H,tub
CCNO,cyclin O,tub
CCNYL1,cyclin Y like 1,tub
CCR7,C-C motif chemokine receptor 7,tub
CCSER1,coiled-coil serine rich protein 1,tub
CCT6B,chaperonin containing TCP1 subunit 6B,tub
CD14,CD14 molecule,tub
CD151,CD151 molecule (Raph blood group),tub
CD164,CD164 molecule,tub
CD2,CD2 molecule,glom
CD200,CD200 molecule,glom
CD209,CD209 molecule,tub
CD22,CD22 molecule,tub
CD226,CD226 molecule,tub
CD24,CD24 molecule,glom
CD247,CD247 molecule,tub
CD248,CD248 molecule,tub
CD28,CD28 molecule,tub
CD300A,CD300a molecule,tub
CD300LG,CD300 molecule like family member g,tub
CD302,CD302 molecule,tub
CD34,CD34 molecule,tub
CD37,CD37 molecule,tub
CD38,CD38 molecule,tub
CD3E,CD3e molecule,glom
CD4,CD4 molecule,tub
CD47,CD47 molecule,tub
CD48,CD48 molecule,tub
CD6,CD6 molecule,tub
CD63,CD63 molecule,tub
CD69,CD69 molecule,tub
CD72,CD72 molecule,tub
CD74,CD74 molecule,tub
CD79B,CD79b molecule,tub
CD81,CD81 molecule,glom
CD82,CD82 molecule,tub
CD83,CD83 molecule,tub
CD8A,CD8a molecule,tub
CD99,CD99 molecule (Xg blood group),tub
CDA,cytidine deaminase,tub
CDADC1,cytidine and dCMP deaminase domain containing 1,tub
CDC14B,cell division cycle 14B,tub
CDC20,cell division cycle 20,tub
CDC25B,cell division cycle 25B,tub
CDC37L1,cell division cycle 37 like 1,tub
CDC42EP2,CDC42 effector protein 2,glom
CDC42EP3,CDC42 effector protein 3,glom
CDC42EP4,CDC42 effector protein 4,glom
CDC6,cell division cycle 6,tub
CDC7,cell division cycle 7,tub
CDCA2,cell division cycle associated 2,tub
CDCA4,cell division cycle associated 4,tub
CDCA5,cell division cycle associated 5,tub
CDCA7,cell division cycle associated 7,tub
CDCA7L,cell division cycle associated 7 like,tub
CDCA8,cell division cycle associated 8,tub
CDCP1,CUB domain containing protein 1,tub
CDH10,cadherin 10,glom
CDH11,cadherin 11,tub
CDH13,cadherin 13,glom
CDH15,cadherin 15,tub
CDH23,cadherin related 23,tub
CDH24,cadherin 24,tub
CDH9,cadherin 9,tub
CDHR2,cadherin related family member 2,tub
CDHR5,cadherin related family member 5,tub
CDK11B,cyclin dependent kinase 11B,glom
CDK13,cyclin dependent kinase 13,glom
CDK18,cyclin dependent kinase 18,tub
CDK5,cyclin dependent kinase 5,glom
CDK6,cyclin dependent kinase 6,tub
CDK8,cyclin dependent kinase 8,tub
CDKN1B,cyclin dependent kinase inhibitor 1B,glom
CDKN2AIP,CDKN2A interacting protein,tub
CDKN2AIPNL,CDKN2A interacting protein N-terminal like,tub
CDKN2C,cyclin dependent kinase inhibitor 2C,glom
CDKN3,cyclin dependent kinase inhibitor 3,tub
CDNF,cerebral dopamine neurotrophic factor,tub
CDON,cell adhesion associated. oncogene regulated,tub
CDPF1,cysteine rich DPF motif domain containing 1,tub
CDR2,cerebellar degeneration related protein 2,tub
CDV3,CDV3 homolog,glom
CDYL,chromodomain Y like,glom
CEACAM19,carcinoembryonic antigen related cell adhesion molecule 19,glom
CEBPZOS,CEBPZ opposite strand,tub
CECR2,CECR2. histone acetyl-lysine reader,glom
CEL,carboxyl ester lipase,tub
CELSR2,cadherin EGF LAG seven-pass G-type receptor 2,tub
CEMIP,cell migration inducing hyaluronidase 1,tub
CENPC,centromere protein C,glom
CENPE,centromere protein E,tub
CENPH,centromere protein H,tub
CENPK,centromere protein K,tub
CENPL,centromere protein L,tub
CENPM,centromere protein M,tub
CENPN,centromere protein N,tub
CENPS,centromere protein S,tub
CENPU,centromere protein U,tub
CENPW,centromere protein W,tub
CEP112,centrosomal protein 112,tub
CEP126,centrosomal protein 126,glom
CEP131,centrosomal protein 131,tub
CEP135,centrosomal protein 135,tub
CEP162,centrosomal protein 162,tub
CEP170,centrosomal protein 170,tub
CEP250,centrosomal protein 250,tub
CEP290,centrosomal protein 290,glom
CEP295,centrosomal protein 295,tub
CEP41,centrosomal protein 41,tub
CEP68,centrosomal protein 68,tub
CEP85L,centrosomal protein 85 like,glom
CERCAM,cerebral endothelial cell adhesion molecule,tub
CERS6,ceramide synthase 6,glom
CES3,carboxylesterase 3,tub
CFAP221,cilia and flagella associated protein 221,tub
CFAP300,cilia and flagella associated protein 300,tub
CFAP36,cilia and flagella associated protein 36,tub
CFAP52,cilia and flagella associated protein 52,tub
CFAP54,cilia and flagella associated protein 54,tub
CFAP65,cilia and flagella associated protein 65,tub
CFB,complement factor B,tub
CFD,complement factor D,tub
CFH,complement factor H,tub
CFI,complement factor I,glom
CFL2,cofilin 2,tub
CFLAR,CASP8 and FADD like apoptosis regulator,tub
CFP,complement factor properdin,tub
CFTR,cystic fibrosis transmembrane conductance regulator,tub
CGRRF1,cell growth regulator with ring finger domain 1,tub
CHAF1B,chromatin assembly factor 1 subunit B,tub
CHCHD2,coiled-coil-helix-coiled-coil-helix domain containing 2,tub
CHD3,chromodomain helicase DNA binding protein 3,tub
CHD6,chromodomain helicase DNA binding protein 6,glom
CHD7,chromodomain helicase DNA binding protein 7,glom
CHEK2,checkpoint kinase 2,tub
CHI3L2,chitinase 3 like 2,tub
CHIC2,cysteine rich hydrophobic domain 2,tub
CHMP5,charged multivesicular body protein 5,tub
CHN1,chimerin 1,tub
CHODL,chondrolectin,tub
CHORDC1,cysteine and histidine rich domain containing 1,tub
CHP1,calcineurin like EF-hand protein 1,tub
CHPF2,chondroitin polymerizing factor 2,tub
CHPT1,choline phosphotransferase 1,tub
CHRNB4,cholinergic receptor nicotinic beta 4 subunit,tub
CHRNE,cholinergic receptor nicotinic epsilon subunit,tub
CHST1,carbohydrate sulfotransferase 1,glom
CHST10,carbohydrate sulfotransferase 10,tub
CHST11,carbohydrate sulfotransferase 11,tub
CHST14,carbohydrate sulfotransferase 14,glom
CHST9,carbohydrate sulfotransferase 9,tub
CIAO2B,cytosolic iron-sulfur assembly component 2B,tub
CIB2,calcium and integrin binding family member 2,tub
CIITA,class II major histocompatibility complex transactivator,tub
CISD1,CDGSH iron sulfur domain 1,tub
CISD3,CDGSH iron sulfur domain 3,tub
CISH,cytokine inducible SH2 containing protein,tub
CITED2,Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2,glom
CKAP2,cytoskeleton associated protein 2,tub
CKAP4,cytoskeleton associated protein 4,glom
CLCN5,chloride voltage-gated channel 5,tub
CLCNKA,chloride voltage-gated channel Ka,tub
CLCNKB,chloride voltage-gated channel Kb,tub
CLDN1,claudin 1,tub
CLDN14,claudin 14,tub
CLDN20,claudin 20,glom
CLDN23,claudin 23,tub
CLDN4,claudin 4,tub
CLDN5,claudin 5,glom
CLDN8,claudin 8,tub
CLDN9,claudin 9,tub
CLDND1,claudin domain containing 1,tub
CLDND2,claudin domain containing 2,glom
CLEC14A,C-type lectin domain containing 14A,tub
CLEC2B,C-type lectin domain family 2 member B,tub
CLEC2D,C-type lectin domain family 2 member D,tub
CLEC4A,C-type lectin domain family 4 member A,tub
CLEC7A,C-type lectin domain containing 7A,tub
CLGN,calmegin,tub
CLIC2,chloride intracellular channel 2,tub
CLIC3,chloride intracellular channel 3,tub
CLIC4,chloride intracellular channel 4,glom
CLIC6,chloride intracellular channel 6,tub
CLINT1,clathrin interactor 1,glom
CLIP1,CAP-Gly domain containing linker protein 1,tub
CLIP2,CAP-Gly domain containing linker protein 2,tub
CLIP3,CAP-Gly domain containing linker protein 3,glom
CLIP4,CAP-Gly domain containing linker protein family member 4,glom
CLK4,CDC like kinase 4,tub
CLMN,calmin,tub
CLN8,CLN8. transmembrane ER and ERGIC protein,tub
CLNK,cytokine dependent hematopoietic cell linker,tub
CLPP,caseinolytic mitochondrial matrix peptidase proteolytic subunit,tub
CLRN3,clarin 3,tub
CLSTN2,calsyntenin 2,tub
CLSTN3,calsyntenin 3,glom
CLTC,clathrin heavy chain,glom
CLTRN,collectrin. amino acid transport regulator,tub
CLUAP1,clusterin associated protein 1,tub
CLYBL,citrate lyase beta like,tub
CMBL,carboxymethylenebutenolidase homolog,tub
CMC1,C-X9-C motif containing 1,tub
CMC2,C-X9-C motif containing 2,tub
CMKLR1,chemerin chemokine-like receptor 1,tub
CMPK2,cytidine/uridine monophosphate kinase 2,tub
CMTM2,CKLF like MARVEL transmembrane domain containing 2,glom
CMTM3,CKLF like MARVEL transmembrane domain containing 3,tub
CMTM4,CKLF like MARVEL transmembrane domain containing 4,tub
CMTM8,CKLF like MARVEL transmembrane domain containing 8,glom
CMYA5,cardiomyopathy associated 5,glom
CNBD2,cyclic nucleotide binding domain containing 2,tub
CNBP,CCHC-type zinc finger nucleic acid binding protein,tub
CNDP1,carnosine dipeptidase 1,tub
CNDP2,carnosine dipeptidase 2,glom
CNEP1R1,CTD nuclear envelope phosphatase 1 regulatory subunit 1,tub
CNIH4,cornichon family AMPA receptor auxiliary protein 4,tub
CNN2,calponin 2,tub
CNNM1,cyclin and CBS domain divalent metal cation transport mediator 1,tub
CNNM2,cyclin and CBS domain divalent metal cation transport mediator 2,tub
CNNM4,cyclin and CBS domain divalent metal cation transport mediator 4,tub
CNP,2'.3'-cyclic nucleotide 3' phosphodiesterase,glom
CNPY3,canopy FGF signaling regulator 3,tub
CNPY4,canopy FGF signaling regulator 4,tub
CNRIP1,cannabinoid receptor interacting protein 1,tub
CNTN1,contactin 1,glom
CNTNAP1,contactin associated protein 1,tub
CNTRL,centriolin,tub
COA1,cytochrome c oxidase assembly factor 1 homolog,tub
COA4,cytochrome c oxidase assembly factor 4 homolog,tub
COA5,cytochrome c oxidase assembly factor 5,tub
COBLL1,cordon-bleu WH2 repeat protein like 1,tub
COL10A1,collagen type X alpha 1 chain,tub
COL12A1,collagen type XII alpha 1 chain,tub
COL13A1,collagen type XIII alpha 1 chain,tub
COL19A1,collagen type XIX alpha 1 chain,tub
COL21A1,collagen type XXI alpha 1 chain,tub
COL27A1,collagen type XXVII alpha 1 chain,tub
COL4A2,collagen type IV alpha 2 chain,tub
COL4A3,collagen type IV alpha 3 chain,glom
COL4A4,collagen type IV alpha 4 chain,tub
COL4A5,collagen type IV alpha 5 chain,glom
COL5A1,collagen type V alpha 1 chain,tub
COL7A1,collagen type VII alpha 1 chain,tub
COL8A2,collagen type VIII alpha 2 chain,tub
COL9A3,collagen type IX alpha 3 chain,tub
COLEC10,collectin subfamily member 10,tub
COLEC11,collectin subfamily member 11,tub
COLGALT1,collagen beta(1-O)galactosyltransferase 1,tub
COLQ,collagen like tail subunit of asymmetric acetylcholinesterase,tub
COMMD2,COMM domain containing 2,tub
COMT,catechol-O-methyltransferase,tub
COPB1,coatomer protein complex subunit beta 1,glom
COPS2,COP9 signalosome subunit 2,tub
COPS5,COP9 signalosome subunit 5,tub
COPS8,COP9 signalosome subunit 8,tub
COQ10A,coenzyme Q10A,tub
COQ10B,coenzyme Q10B,tub
COQ4,coenzyme Q4,tub
COQ6,coenzyme Q6. monooxygenase,tub
COQ7,coenzyme Q7. hydroxylase,tub
CORO1C,coronin 1C,glom
CORO2B,coronin 2B,glom
CORO6,coronin 6,tub
COX11,cytochrome c oxidase copper chaperone COX11,tub
COX14,cytochrome c oxidase assembly factor COX14,tub
COX16,cytochrome c oxidase assembly factor COX16,tub
COX17,cytochrome c oxidase copper chaperone COX17,tub
COX18,cytochrome c oxidase assembly factor COX18,tub
COX20,cytochrome c oxidase assembly factor COX20,tub
COX5A,cytochrome c oxidase subunit 5A,tub
COX5B,cytochrome c oxidase subunit 5B,tub
COX6A1,cytochrome c oxidase subunit 6A1,tub
COX6A2,cytochrome c oxidase subunit 6A2,tub
COX6B1,cytochrome c oxidase subunit 6B1,tub
COX6C,cytochrome c oxidase subunit 6C,tub
COX7A1,cytochrome c oxidase subunit 7A1,tub
COX7A2,cytochrome c oxidase subunit 7A2,tub
COX7A2L,cytochrome c oxidase subunit 7A2 like,tub
COX7B,cytochrome c oxidase subunit 7B,tub
COX7C,cytochrome c oxidase subunit 7C,tub
COX8A,cytochrome c oxidase subunit 8A,tub
CPAMD8,C3 and PZP like. alpha-2-macroglobulin domain containing 8,glom
CPEB2,cytoplasmic polyadenylation element binding protein 2,tub
CPED1,cadherin like and PC-esterase domain containing 1,tub
CPM,carboxypeptidase M,tub
CPNE6,copine 6,tub
CPNE7,copine 7,tub
CPNE8,copine 8,glom
CPS1,carbamoyl-phosphate synthase 1,tub
CPSF1,cleavage and polyadenylation specific factor 1,tub
CPSF6,cleavage and polyadenylation specific factor 6,glom
CPT1C,carnitine palmitoyltransferase 1C,tub
CPXM1,carboxypeptidase X. M14 family member 1,glom
CR1,complement C3b/C4b receptor 1 (Knops blood group),glom
CRABP1,cellular retinoic acid binding protein 1,tub
CRACR2A,calcium release activated channel regulator 2A,tub
CRADD,CASP2 and RIPK1 domain containing adaptor with death domain,tub
CRB2,crumbs 2. cell polarity complex component,glom
CRB3,crumbs 3. cell polarity complex component,tub
CREB1,cAMP responsive element binding protein 1,tub
CREB3L1,cAMP responsive element binding protein 3 like 1,tub
CREB3L2,cAMP responsive element binding protein 3 like 2,glom
CREBBP,CREB binding protein,glom
CRIM1,cysteine rich transmembrane BMP regulator 1,glom
CRIP1,cysteine rich protein 1,tub
CRIP2,cysteine rich protein 2,tub
CRISP2,cysteine rich secretory protein 2,tub
CRISPLD1,cysteine rich secretory protein LCCL domain containing 1,tub
CRISPLD2,cysteine rich secretory protein LCCL domain containing 2,tub
CRLF1,cytokine receptor like factor 1,tub
CRLF3,cytokine receptor like factor 3,tub
CRY2,cryptochrome circadian regulator 2,tub
CRYL1,crystallin lambda 1,tub
CSF2RA,colony stimulating factor 2 receptor alpha subunit,tub
CSF2RB,colony stimulating factor 2 receptor beta common subunit,tub
CSF3R,colony stimulating factor 3 receptor,tub
CSGALNACT,,tub
CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1,tub
CSK,C-terminal Src kinase,tub
CSMD1,CUB and Sushi multiple domains 1,tub
CSNK1E,casein kinase 1 epsilon,glom
CSRP1,cysteine and glycine rich protein 1,glom
CST3,cystatin C,glom
CST6,cystatin E/M,tub
CST7,cystatin F,tub
